Ticker,sharedate,HighPrice,LowPrice,ClosePrice
NVDA,1/2/2025,138.88,134.63,138.31
NVDA,1/3/2025,144.9,139.73,144.47
NVDA,1/6/2025,152.156,147.8201,149.43
NVDA,1/7/2025,153.13,140.01,140.14
NVDA,1/8/2025,143.95,137.56,140.11
NVDA,1/10/2025,139.92,134.22,135.91
NVDA,1/13/2025,133.49,129.51,133.23
NVDA,1/14/2025,136.38,130.05,131.76
NVDA,1/15/2025,136.45,131.29,136.24
NVDA,1/16/2025,138.75,133.49,133.57
NVDA,1/17/2025,138.5,135.4649,137.71
NVDA,1/21/2025,141.83,137.09,140.83
NVDA,1/22/2025,147.79,143.67,147.07
NVDA,1/23/2025,147.23,143.72,147.22
NVDA,1/24/2025,148.97,141.88,142.62
NVDA,1/27/2025,128.4,116.7,118.42
NVDA,1/28/2025,129,116.25,128.99
NVDA,1/29/2025,126.89,120.05,123.7
NVDA,1/30/2025,125,118.1,124.65
NVDA,1/31/2025,127.85,119.19,120.07
NVDA,2/3/2025,118.57,113.01,116.66
NVDA,2/4/2025,121.2,116.7,118.65
NVDA,2/5/2025,125,120.76,124.83
NVDA,2/6/2025,128.77,125.21,128.68
NVDA,2/7/2025,130.37,125,129.84
NVDA,2/10/2025,135,129.96,133.57
NVDA,2/11/2025,134.48,131.02,132.8
NVDA,2/12/2025,132.24,129.08,131.14
NVDA,2/13/2025,136.5,131.17,135.29
NVDA,2/14/2025,139.25,135.5,138.85
NVDA,2/18/2025,143.44,137.925,139.4
NVDA,2/19/2025,141.36,137.22,139.23
NVDA,2/20/2025,140.66,136.7901,140.11
NVDA,2/21/2025,141.46,134.03,134.43
NVDA,2/24/2025,138.59,130.08,130.28
NVDA,2/25/2025,130.2,124.44,126.63
NVDA,2/26/2025,133.73,128.49,131.28
NVDA,2/27/2025,135.01,120.01,120.15
NVDA,2/28/2025,125.09,116.4,124.92
NVDA,3/3/2025,123.7,112.28,114.06
NVDA,3/4/2025,119.31,110.11,115.99
NVDA,3/5/2025,118.2781,114.51,117.3
NVDA,3/6/2025,115.35,110.22,110.57
NVDA,3/7/2025,113.48,107.56,112.69
NVDA,3/10/2025,111.85,105.46,106.98
NVDA,3/11/2025,112.236,104.77,108.76
NVDA,3/12/2025,116.76,112.88,115.74
NVDA,3/13/2025,117.76,113.79,115.58
NVDA,3/14/2025,121.88,118.15,121.67
NVDA,3/17/2025,122.89,118.03,119.53
NVDA,3/18/2025,119.02,114.54,115.43
NVDA,3/19/2025,120.445,115.68,117.52
NVDA,3/20/2025,120.2,116.47,118.53
NVDA,3/21/2025,117.99,115.42,117.7
NVDA,3/24/2025,122.22,119.34,121.41
NVDA,3/25/2025,121.29,118.92,120.69
NVDA,3/26/2025,118.84,112.71,113.76
NVDA,3/27/2025,114.45,110.66,111.43
NVDA,3/28/2025,112.87,109.0701,109.67
NVDA,3/31/2025,110.955,103.65,108.38
NVDA,4/1/2025,110.2,106.47,110.15
NVDA,4/2/2025,111.98,106.79,110.42
NVDA,4/3/2025,105.63,101.6,101.8
NVDA,4/4/2025,100.13,92.11,94.31
NVDA,4/7/2025,101.75,86.62,97.64
NVDA,4/8/2025,105.85,94.46,96.3
NVDA,4/9/2025,115.1,97.5301,114.33
NVDA,4/10/2025,110.86,99.15,107.57
NVDA,4/11/2025,111.5499,107.48,110.93
NVDA,4/14/2025,114.29,109.07,110.71
NVDA,4/15/2025,113.615,110.5,112.2
NVDA,4/16/2025,106.79,100.45,104.49
NVDA,4/17/2025,104.47,100.05,101.49
NVDA,4/21/2025,99.44,95.04,96.91
NVDA,4/22/2025,99.811,97.28,98.89
NVDA,4/23/2025,104.8,102.02,102.71
NVDA,4/24/2025,106.54,103.11,106.43
NVDA,4/25/2025,111.92,105.73,111.01
NVDA,4/28/2025,110.3699,106.02,108.73
NVDA,4/29/2025,110.1999,107.44,109.02
NVDA,4/30/2025,108.92,104.08,108.92
NVDA,5/1/2025,114.94,111.3,111.61
NVDA,5/2/2025,115.4,113.37,114.5
NVDA,5/5/2025,114.665,112.66,113.82
NVDA,5/6/2025,114.74,110.822,113.54
NVDA,5/7/2025,117.68,112.2818,117.06
NVDA,5/8/2025,118.68,115.85,117.37
NVDA,5/9/2025,118.23,115.21,116.65
NVDA,5/12/2025,123,120.28,123
NVDA,5/13/2025,131.2189,124.47,129.93
NVDA,5/14/2025,135.435,131.68,135.34
NVDA,5/15/2025,136.3,132.66,134.83
NVDA,5/16/2025,136.35,133.46,135.4
NVDA,5/19/2025,135.87,132.39,135.57
NVDA,5/20/2025,134.58,132.62,134.38
NVDA,5/21/2025,137.4,130.59,131.8
NVDA,5/22/2025,134.25,131.55,132.83
NVDA,5/23/2025,132.68,129.16,131.29
NVDA,5/27/2025,135.66,133.31,135.5
NVDA,5/28/2025,137.25,134.79,134.81
NVDA,5/29/2025,143.49,137.91,139.19
NVDA,5/30/2025,139.62,132.92,135.13
NVDA,6/2/2025,138.12,135.4,137.38
NVDA,6/3/2025,142,137.95,141.22
NVDA,6/4/2025,142.39,139.545,141.92
NVDA,6/5/2025,144,138.83,139.99
NVDA,6/6/2025,143.27,141.51,141.72
NVDA,6/9/2025,145,141.94,142.63
NVDA,6/10/2025,144.29,141.525,143.96
NVDA,6/11/2025,144.99,141.87,142.83
NVDA,6/12/2025,145,141.85,145
NVDA,6/13/2025,143.58,140.855,141.97
NVDA,6/16/2025,146.175,143.2001,144.69
NVDA,6/17/2025,145.22,143.78,144.12
NVDA,6/18/2025,145.65,143.12,145.48
NVDA,6/20/2025,146.2,142.65,143.85
NVDA,6/23/2025,144.78,142.03,144.17
NVDA,6/24/2025,147.96,145.5,147.9
NVDA,6/25/2025,154.45,149.26,154.31
NVDA,6/26/2025,156.715,154,155.02
NVDA,6/27/2025,158.71,155.255,157.75
NVDA,6/30/2025,158.66,155.96,157.99
NVDA,7/1/2025,157.2,151.49,153.3
NVDA,7/2/2025,157.6,152.97,157.25
NVDA,7/3/2025,160.98,157.77,159.34
NVDA,7/7/2025,159.31,157.342,158.24
NVDA,7/8/2025,160.22,158.39,160
NVDA,7/9/2025,164.42,161.16,162.88
NVDA,7/10/2025,164.5,161.61,164.1
NVDA,7/11/2025,167.89,163.47,164.92
NVDA,7/14/2025,165.49,162.02,164.07
NVDA,7/15/2025,172.4,169.195,170.7
NVDA,7/16/2025,171.75,168.9,171.37
NVDA,7/17/2025,174.16,170.83,173
NVDA,7/18/2025,174.25,171.26,172.41
NVDA,7/21/2025,173.38,171,171.38
NVDA,7/22/2025,171.39,164.58,167.03
NVDA,7/23/2025,171.26,167.97,170.78
NVDA,7/24/2025,173.83,171.3,173.74
NVDA,7/25/2025,174.72,172.96,173.5
NVDA,7/28/2025,177,173.97,176.75
NVDA,7/29/2025,179.38,175.02,175.51
NVDA,7/30/2025,179.89,176.04,179.27
NVDA,7/31/2025,183.3,175.93,177.87
NVDA,8/1/2025,176.54,170.89,173.72
NVDA,8/4/2025,180.2,174.52,180
NVDA,8/5/2025,180.26,175.9,178.26
NVDA,8/6/2025,179.9,176.25,179.42
NVDA,8/7/2025,183.88,178.795,180.77
NVDA,8/8/2025,183.3,180.4,182.7
NVDA,8/11/2025,183.84,180.25,182.06
NVDA,8/12/2025,184.48,179.46,183.16
NVDA,8/13/2025,183.97,179.35,181.59
NVDA,8/14/2025,183.02,179.46,182.02
NVDA,8/15/2025,181.9,178.0417,180.45
NVDA,8/18/2025,182.9375,180.59,182.01
NVDA,8/19/2025,182.5,175.49,175.64
NVDA,8/20/2025,176,168.801,175.4
NVDA,8/21/2025,176.9,173.81,174.98
NVDA,8/22/2025,178.59,171.2,177.99
NVDA,8/25/2025,181.91,176.57,179.81
NVDA,8/26/2025,182.39,178.81,181.77
NVDA,8/27/2025,182.49,179.1,181.6
NVDA,8/28/2025,184.47,176.41,180.17
NVDA,8/29/2025,178.15,173.145,174.18
NVDA,9/2/2025,172.379,167.22,170.78
NVDA,9/3/2025,172.41,168.875,170.62
NVDA,9/4/2025,171.86,169.41,171.66
NVDA,9/5/2025,169.03,164.07,167.02
NVDA,9/8/2025,170.96,167.35,168.31
NVDA,9/9/2025,170.98,166.7401,170.76
NVDA,9/10/2025,179.29,175.47,177.33
NVDA,9/11/2025,180.28,176.48,177.17
NVDA,9/12/2025,178.595,176.45,177.82
NVDA,9/15/2025,178.85,174.51,177.75
NVDA,9/16/2025,177.5,174.38,174.88
NVDA,9/17/2025,173.2,168.41,170.29
NVDA,9/18/2025,177.1,172.96,176.24
NVDA,9/19/2025,178.08,175.18,176.67
NVDA,9/22/2025,184.55,174.7053,183.61
NVDA,9/23/2025,182.42,176.21,178.43
NVDA,9/24/2025,179.78,175.4,176.97
NVDA,9/25/2025,180.26,173.125,177.69
NVDA,9/26/2025,179.77,174.93,178.19
NVDA,9/29/2025,184,180.32,181.85
NVDA,9/30/2025,187.35,181.48,186.58
NVDA,10/1/2025,188.14,183.9,187.24
NVDA,10/2/2025,191.05,188.06,188.89
NVDA,10/3/2025,190.36,185.38,187.62
NVDA,10/6/2025,187.23,183.33,185.54
NVDA,10/7/2025,189.06,184,185.04
NVDA,10/8/2025,189.6,186.54,189.11
NVDA,10/9/2025,195.3,191.06,192.57
NVDA,10/10/2025,195.62,182.05,183.16
NVDA,10/13/2025,190.1099,185.96,188.32
NVDA,10/14/2025,184.8,179.7,180.03
NVDA,10/15/2025,184.87,177.29,179.83
NVDA,10/16/2025,183.28,179.77,181.81
NVDA,10/17/2025,184.1,179.75,183.22
NVDA,10/20/2025,185.2,181.73,182.64
NVDA,10/21/2025,182.785,179.8,181.16
NVDA,10/22/2025,183.44,176.76,180.28
NVDA,10/23/2025,183.03,179.7901,182.16
NVDA,10/24/2025,187.47,183.5,186.26
NVDA,10/27/2025,192,188.4318,191.49
NVDA,10/28/2025,203.15,191.91,201.03
NVDA,10/29/2025,212.1899,204.775,207.04
NVDA,10/30/2025,206.16,201.41,202.89
NVDA,10/31/2025,207.97,202.07,202.49
NVDA,11/3/2025,211.335,205.56,206.88
NVDA,11/4/2025,203.9699,197.93,198.69
NVDA,11/5/2025,202.92,194.65,195.21
NVDA,11/6/2025,197.62,186.38,188.08
NVDA,11/7/2025,188.32,178.91,188.15
NVDA,11/10/2025,199.94,193.79,199.05
NVDA,11/11/2025,195.42,191.3,193.16
NVDA,11/12/2025,195.89,191.13,193.8
NVDA,11/13/2025,191.44,183.85,186.86
NVDA,11/14/2025,191.01,180.58,190.17
NVDA,11/17/2025,189,184.32,186.6
NVDA,11/18/2025,184.8,179.65,181.36
NVDA,11/19/2025,187.855,182.8301,186.52
NVDA,11/20/2025,196,179.85,180.64
NVDA,11/21/2025,184.56,172.93,178.88
NVDA,11/24/2025,183.5,176.48,182.55
NVDA,11/25/2025,178.16,169.55,177.82
NVDA,11/26/2025,182.91,178.24,180.26
NVDA,11/28/2025,179.29,176.5,177
NVDA,12/1/2025,180.3,173.68,179.92
NVDA,12/2/2025,185.66,180,181.46
NVDA,12/3/2025,182.45,179.1101,179.59
NVDA,12/4/2025,184.515,179.96,183.38
NVDA,12/5/2025,184.66,180.91,182.41
NVDA,12/8/2025,188,182.4,185.55
NVDA,12/9/2025,185.7167,183.32,184.97
NVDA,12/10/2025,185.48,182.035,183.78
NVDA,12/11/2025,181.32,176.62,180.93
NVDA,12/12/2025,182.82,174.62,175.02
NVDA,12/15/2025,178.415,175.03,176.29
NVDA,12/16/2025,178.49,174.9,177.72
NVDA,12/17/2025,176.13,170.31,170.94
NVDA,12/18/2025,176.15,171.82,174.14
NVDA,12/19/2025,181.45,176.34,180.99
NVDA,12/22/2025,184.16,182.35,183.69
NVDA,12/23/2025,189.33,182.9,189.21
NVDA,12/24/2025,188.91,186.59,188.61
NVDA,12/26/2025,192.69,188,190.53
NVDA,12/29/2025,188.755,185.91,188.22
NVDA,12/30/2025,188.99,186.93,187.54
NVDA,12/31/2025,190.56,186.49,186.5
NVDA,1/2/2026,192.9299,188.26,188.85
NVDA,1/5/2026,193.63,186.15,188.12
NVDA,1/6/2026,192.174,186.82,187.24
NVDA,1/7/2026,191.37,186.56,189.11
NVDA,1/8/2026,189.55,183.71,185.04
NVDA,1/9/2026,186.34,183.6701,184.86
NVDA,1/12/2026,187.12,183.02,184.94
NVDA,1/13/2026,188.1099,183.4,185.81
NVDA,1/14/2026,184.46,180.8,183.14
NVDA,1/15/2026,189.7,186.33,187.05
NVDA,1/16/2026,190.44,186.08,186.23
NVDA,1/20/2026,182.3786,177.61,178.07
NVDA,1/21/2026,185.379,178.4,183.32
NVDA,1/22/2026,186.17,183.93,184.84
NVDA,1/23/2026,189.6,186.8233,187.67
NVDA,1/26/2026,189.12,185.99,186.47
NVDA,1/27/2026,190,185.7,188.52
NVDA,1/28/2026,192.35,189.84,191.52
NVDA,1/29/2026,193.48,186.06,192.51
NVDA,1/30/2026,194.49,189.47,191.13
NVDA,2/2/2026,190.3,184.88,185.61
NVDA,2/3/2026,186.27,176.23,180.34
NVDA,2/4/2026,179.58,171.91,174.19
NVDA,2/5/2026,176.815,171.03,171.88
NVDA,2/6/2026,187,174.6,185.41
